sample-id,file-path,direction
SAMN10847219,data/rey/SRR8760074_1.fastq.gz,forward
SAMN10847219,data/rey/SRR8760074_2.fastq.gz,reverse
SAMN10847223,data/rey/SRR8760078_1.fastq.gz,forward
SAMN10847223,data/rey/SRR8760078_2.fastq.gz,reverse
SAMN10847226,data/rey/SRR8760077_1.fastq.gz,forward
SAMN10847226,data/rey/SRR8760077_2.fastq.gz,reverse
SAMN10847228,data/rey/SRR8760071_1.fastq.gz,forward
SAMN10847228,data/rey/SRR8760071_2.fastq.gz,reverse
SAMN10847229,data/rey/SRR8759981_1.fastq.gz,forward
SAMN10847229,data/rey/SRR8759981_2.fastq.gz,reverse
SAMN10847231,data/rey/SRR8759979_1.fastq.gz,forward
SAMN10847231,data/rey/SRR8759979_2.fastq.gz,reverse
SAMN10847249,data/rey/SRR8760155_1.fastq.gz,forward
SAMN10847249,data/rey/SRR8760155_2.fastq.gz,reverse
SAMN10847251,data/rey/SRR8760157_1.fastq.gz,forward
SAMN10847251,data/rey/SRR8760157_2.fastq.gz,reverse
SAMN10847253,data/rey/SRR8760151_1.fastq.gz,forward
SAMN10847253,data/rey/SRR8760151_2.fastq.gz,reverse
SAMN10847255,data/rey/SRR8760153_1.fastq.gz,forward
SAMN10847255,data/rey/SRR8760153_2.fastq.gz,reverse
SAMN10847264,data/rey/SRR8760090_1.fastq.gz,forward
SAMN10847264,data/rey/SRR8760090_2.fastq.gz,reverse
SAMN10847265,data/rey/SRR8760093_1.fastq.gz,forward
SAMN10847265,data/rey/SRR8760093_2.fastq.gz,reverse
SAMN10847266,data/rey/SRR8760092_1.fastq.gz,forward
SAMN10847266,data/rey/SRR8760092_2.fastq.gz,reverse
SAMN10847267,data/rey/SRR8760100_1.fastq.gz,forward
SAMN10847267,data/rey/SRR8760100_2.fastq.gz,reverse
SAMN10847272,data/rey/SRR8760122_1.fastq.gz,forward
SAMN10847272,data/rey/SRR8760122_2.fastq.gz,reverse
SAMN10847276,data/rey/SRR8760118_1.fastq.gz,forward
SAMN10847276,data/rey/SRR8760118_2.fastq.gz,reverse
SAMN10847333,data/rey/SRR8760011_1.fastq.gz,forward
SAMN10847333,data/rey/SRR8760011_2.fastq.gz,reverse
SAMN10847336,data/rey/SRR8760010_1.fastq.gz,forward
SAMN10847336,data/rey/SRR8760010_2.fastq.gz,reverse
SAMN10847345,data/rey/SRR8760173_1.fastq.gz,forward
SAMN10847345,data/rey/SRR8760173_2.fastq.gz,reverse
SAMN10847348,data/rey/SRR8760170_1.fastq.gz,forward
SAMN10847348,data/rey/SRR8760170_2.fastq.gz,reverse
SAMN10847357,data/rey/SRR8760137_1.fastq.gz,forward
SAMN10847357,data/rey/SRR8760137_2.fastq.gz,reverse
SAMN10847359,data/rey/SRR8760112_1.fastq.gz,forward
SAMN10847359,data/rey/SRR8760112_2.fastq.gz,reverse
